,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
59,Young Forever,JAY-Z  & Mr Hudson,The Blueprint 3,70,15,https://open.spotify.com/track/35srNkJVToAzYiZzron1FY,0.417,0.637,-3.214,0.103,0.69,0.211,140.329,True,0.0,253907,"east coast hip hop, gangster rap, hip hop, pop rap, rap",gangster rap,Hip-Hop,2010
60,Your Song - Bonus Track,Ellie Goulding,Bright Lights (Lights Re-pack / Bonus Version),69,17,https://open.spotify.com/track/1a9hBnJodCsNcp0HoJAObp,0.941,0.547,-12.002,0.402,0.197,0.144,133.85,False,0.000756,191827,"indietronica, metropopolis, pop, uk pop",metropopolis,Pop,2010
61,Magic (feat. Rivers Cuomo),B.o.B  & Rivers Cuomo,B.o.B Presents: The Adventures of Bobby Ray,69,12,https://open.spotify.com/track/5uHYcK0nbEYgRaFTY5BqnP,0.0127,0.549,-4.11,0.787,0.932,0.347,82.439,False,0.0,196133,"atl hip hop, dance pop, pop rap, rap, southern hip hop",dance pop,Pop,2010
62,Half of My Heart,John Mayer,Battle Studies,69,11,https://open.spotify.com/track/7hR5toSPEgwFZ78jfHdANM,0.435,0.681,-9.327,0.731,0.593,0.106,115.058,False,0.000117,250373,"neo mellow, singer-songwriter",singer-songwriter,Pop,2010
63,Stuck Like Glue,Sugarland,The Incredible Machine,69,11,https://open.spotify.com/track/0JcKdUGNR7zI4jJDLyYXbi,0.329,0.702,-4.764,0.836,0.795,0.0505,83.961,False,0.0,247587,"contemporary country, country, country dawn, country road",country,Country,2010
64,We No Speak Americano (Edit),Yolanda Be Cool  & DCup,We No Speak Americano,69,6,https://open.spotify.com/track/37dYAkMa4lzRCH6kDbMT1L,0.0748,0.902,-5.003,0.745,0.805,0.0914,124.985,False,0.0823,157438,"australian dance, australian house, bass house",australian house,EDM,2010
65,I Like It,Enrique Iglesias  & Pitbull,Euphoria,68,18,https://open.spotify.com/track/7HacCTm33hZYYN8DXpCYuG,0.021,0.648,-2.881,0.73,0.942,0.0594,129.007,False,0.0,231373,"dance pop, latin pop, mexican pop",latin pop,Pop,2010
66,Ridin' Solo,Jason Derulo,Jason Derulo,68,9,https://open.spotify.com/track/6BaxqcoEM9r3LXisTyJjST,0.128,0.442,-4.02,0.578,0.83,0.129,89.338,False,0.0,215747,"dance pop, pop",pop,Pop,2010
67,Eenie Meenie,Sean Kingston,Eenie Meenie EP,68,3,https://open.spotify.com/track/45O0tUN9Bh6LH4eNxQ07AT,0.0348,0.734,-3.241,0.836,0.639,0.102,121.212,False,0.0,201653,"dance pop, miami hip hop, pop",miami hip hop,Hip-Hop,2010
68,Heartbreak Warfare,John Mayer,Battle Studies,68,11,https://open.spotify.com/track/4gs07VlJST4bdxGbBsXVue,0.191,0.624,-8.113,0.311,0.554,0.299,97.031,False,0.00131,269720,"neo mellow, singer-songwriter",singer-songwriter,Pop,2010
69,STARSTRUKK (feat. Katy Perry),3OH!3  & Katy Perry  & Matt Squire,WANT (Deluxe),68,15,https://open.spotify.com/track/1hBM2D1ULT3aeKuddSwPsK,0.00175,0.607,-5.579,0.232,0.805,0.231,139.894,True,0.0,202667,"electropowerpop, pop punk, pop rap, post-teen pop",pop punk,Pop,2010
70,Forget You,CeeLo Green,The Lady Killer,68,14,https://open.spotify.com/track/7AqISujIaWcY3h5zrOqt5v,0.134,0.696,-3.682,0.772,0.875,0.159,127.39,False,0.0,222733,atl hip hop,atl hip hop,Hip-Hop,2010
71,Need You Now,Lady A,Need You Now,68,12,https://open.spotify.com/track/7h70RTLbnhDyPGXjl3iEhh,0.0298,0.581,-4.433,0.316,0.717,0.243,107.884,False,0.000186,236440,"contemporary country, country, country dawn, country pop, country road",country,Country,2010
72,Can't Be Tamed,Miley Cyrus,Can't Be Tamed,67,12,https://open.spotify.com/track/2r6DdaSbkbwoPzuK6NjLPn,0.0287,0.63,-2.919,0.743,0.91,0.196,116.98,False,0.0,168213,pop,pop,Pop,2010
73,Hey Daddy (Daddy's Home),Usher,Raymond v Raymond (Expanded Edition),67,22,https://open.spotify.com/track/030OCtLMrljNhp8OWHBWW3,0.000176,0.59,-4.262,0.352,0.698,0.107,95.975,False,0.0,224093,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",contemporary r&b,R&B,2010
74,Gold Dust - Radio Edit,DJ Fresh,Gold Dust,67,6,https://open.spotify.com/track/3uIGef7OSXkFdqxjFWn2o6,0.255,0.451,-0.74,0.295,0.948,0.392,176.985,False,0.0,192447,"dancefloor dnb, drum and bass, uk dance",drum and bass,EDM,2010
75,How Low,Ludacris,Battle Of The Sexes (Deluxe),67,17,https://open.spotify.com/track/1WtTLtofvcjQM3sXSMkDdX,0.00248,0.785,-6.977,0.418,0.498,0.224,143.96,True,1.23e-06,201587,"atl hip hop, dance pop, dirty south rap, hip hop, old school atlanta hip hop, pop rap, rap, southern hip hop, trap",dance pop,Pop,2010
76,Kickstarts,Example,Won't Go Quietly,67,14,https://open.spotify.com/track/07WEDHF2YwVgYuBugi2ECO,0.00374,0.61,-4.455,0.657,0.836,0.358,126.056,False,0.0,181827,"hip house, uk dance",uk dance,Dance,2010
77,Whataya Want from Me,Adam Lambert,For Your Entertainment,66,14,https://open.spotify.com/track/2rDwdvBma1O1eLzo29p2cr,0.00706,0.44,-4.732,0.445,0.683,0.0593,185.948,False,0.0,227320,"dance pop, idol, pop, post-teen pop",idol,Pop,2010
