,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
68,Laugh Now Cry Later (feat. Lil Durk),Drake  & Lil Durk,Laugh Now Cry Later (feat. Lil Durk),82,1,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,0.244,0.761,-8.871,0.522,0.518,0.107,133.976,TRUE,3.47E-05,261493,"canadian hip hop, canadian pop, hip hop, rap, toronto rap",canadian pop,Pop,2020
69,In Your Eyes,The Weeknd,After Hours,81,14,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl,0.00285,0.667,-5.371,0.717,0.719,0.0736,100.021,TRUE,8.10E-05,237520,"canadian contemporary r&b, canadian pop, pop",canadian pop,Pop,2020
70,my ex's best friend (with blackbear),Machine Gun Kelly  & blackbear,my ex's best friend (with blackbear),1,1,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w,0.00391,0.728,-5.096,0.33,0.685,0.152,124.934,TRUE,0,138970,"ohio hip hop, pop rap",pop rap,Hip-Hop,2020
71,ON (Feat. Sia),BTS  & Sia,MAP OF THE SOUL : 7,0,20,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ,0.137,0.591,-4.397,0.386,0.848,0.372,105.922,FALSE,0,246816,"k-pop, k-pop boy group, pop",k-pop boy group,K-Pop,2020
72,MAMACITA,Black Eyed Peas  & Ozuna  & J. Rey Soul,MAMACITA,71,1,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q,0.193,0.894,-6.929,0.428,0.635,0.0823,105.013,TRUE,0.00105,249143,"dance pop, pop, pop rap",pop,Pop,2020
73,Tusa,KAROL G  & Nicki Minaj,Tusa,79,1,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,0.295,0.803,-3.28,0.574,0.715,0.0574,101.085,FALSE,0.000134,200960,"reggaeton, reggaeton colombiano, trap latino, urbano latino",reggaeton colombiano,Reggaeton,2020
74,Be Kind (with Halsey),Marshmello  & Halsey,Be Kind (with Halsey),77,1,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,0.00776,0.63,-7.088,0.452,0.633,0.0541,93.995,FALSE,0,172762,"brostep, edm, pop, progressive electro house",edm,EDM,2020
75,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,92,12,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,0.751,0.501,-5.679,0.446,0.405,0.105,109.891,FALSE,0,182161,"pop, uk pop",uk pop,Pop,2020
76,Past Life (with Selena Gomez),Trevor Daniel  & Selena Gomez,Past Life (with Selena Gomez),65,1,https://open.spotify.com/track/7MN8RYSofZsFROBlEOAzXq,0.102,0.575,-5.062,0.283,0.543,0.176,159.905,FALSE,0,186480,melodic rap,melodic rap,Hip-Hop,2020
77,Lonely (with benny blanco),Justin Bieber  & benny blanco,Lonely (with benny blanco),73,1,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,0.864,0.631,-7.071,0.0927,0.239,0.116,79.859,TRUE,0,149297,"canadian pop, pop",pop,Pop,2020
78,Physical,Dua Lipa,Future Nostalgia,79,11,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW,0.0137,0.647,-3.756,0.746,0.844,0.102,146.967,FALSE,0.000658,193829,"dance pop, pop, uk pop",pop,Pop,2020
79,July,Noah Cyrus,THE END OF EVERYTHING,82,8,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB,0.868,0.708,-8.953,0.322,0.186,0.0779,72.541,FALSE,0,156106,"alt z, pop",pop,Pop,2020
80,Hawái,Maluma,PAPI JUANCHO,82,22,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,0.185,0.783,-3.454,0.558,0.727,0.0626,180.067,FALSE,2.46E-05,199112,"latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",reggaeton,Reggaeton,2020
81,RITMO (Bad Boys For Life),Black Eyed Peas  & J Balvin,Translation,50,15,https://open.spotify.com/track/4NCsrTzgVfsDo8nWyP8PPc,0.0259,0.723,-7.088,0.684,0.704,0.792,105.095,TRUE,0.00109,214935,"dance pop, pop, pop rap",pop,Pop,2020
82,Sour Candy (with BLACKPINK),Lady Gaga  & BLACKPINK,Sour Candy (with BLACKPINK),71,1,https://open.spotify.com/track/6R6ZoHTypt5lt68MWbzZXv,0.0604,0.752,-3.812,0.784,0.87,0.489,120.006,FALSE,1.12E-05,157707,"art pop, dance pop, pop",dance pop,Pop,2020
83,Wishing Well,Juice WRLD,Legends Never Die,12,21,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb,0.00336,0.65,-6.13,0.0804,0.613,0.267,149.972,TRUE,0,194621,"chicago rap, melodic rap, rap",melodic rap,Hip-Hop,2020
84,Play Date,Melanie Martinez,Cry Baby (Deluxe Edition),81,16,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA,0.612,0.68,-5.077,0.446,0.729,0.224,123.97,TRUE,0,179867,"alt z, electropop, pop",electropop,Pop,2020
85,Know Your Worth,Khalid  & Disclosure,Know Your Worth,72,1,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf,0.145,0.79,-7.726,0.508,0.694,0.281,103.007,FALSE,0.00252,181436,"pop, pop r&b",pop r&b,R&B,2020
86,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone  & Swae Lee,Hollywood's Bleeding,88,17,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,0.533,0.755,-4.368,0.925,0.522,0.0685,89.96,FALSE,0,157560,"dfw rap, melodic rap, pop, rap",melodic rap,Hip-Hop,2020
87,Ice Cream (with Selena Gomez),BLACKPINK  & Selena Gomez,Ice Cream (with Selena Gomez),68,1,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX,0.0342,0.79,-3.843,0.904,0.729,0.0411,159.989,FALSE,9.31E-05,175813,"k-pop, k-pop girl group, pop",k-pop girl group,K-Pop,2020
