,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
76,There You Go,P!nk,Can't Take Me Home (Expanded Edition),61,15.0,https://open.spotify.com/track/6dJ2mSRaKE9ctYw9qWNGWQ,0.0854,0.822,-6.729,0.668,0.847,0.0452,107.908,False,0.0,202800,"dance pop, pop",pop,Pop,2000
77,Wonderful,Everclear,Songs From An American Movie: Learning How To Smile,61,14.0,https://open.spotify.com/track/0WHOPmOuQKuu05k4g3UTvk,0.0118,0.514,-6.489,0.734,0.817,0.346,186.765,False,8.25e-06,280813,"alternative metal, alternative rock, nu metal, permanent wave, pop rock, post-grunge",alternative rock,Rock,2000
78,Shake Ya Ass,Mystikal,Let's Get Ready,61,18.0,https://open.spotify.com/track/1jRzdY7oUBOhrylNtiMtBD,0.0626,0.914,-5.658,0.666,0.607,0.0515,98.054,True,0.0,256973,"crunk, dirty south rap, gangster rap, new orleans rap",dirty south rap,Hip-Hop,2000
79,Move Your Body - Gabry Ponte Original Radio Edit,Eiffel 65  & Gabry Ponte,Europop,61,19.0,https://open.spotify.com/track/3cqZlRpC4lOnxUE7HE3N5k,0.0813,0.745,-9.664,0.96,0.958,0.533,129.962,False,0.324,268864,"eurodance, europop, italian adult pop, italo dance",europop,Pop,2000
80,Rise,GABRIELLE,Rise,61,14.0,https://open.spotify.com/track/63nkNgHkmfgjElTEnCzKYU,0.315,0.558,-9.487,0.631,0.481,0.09,144.673,False,8.83e-06,219093,"british soul, europop, new wave pop",europop,Pop,2000
81,Bent,Matchbox Twenty,Mad Season,61,13.0,https://open.spotify.com/track/6fA7akEuTUL3dW1V0GELaZ,0.0404,0.518,-6.814,0.527,0.83,0.375,95.468,False,3.85e-06,256133,"neo mellow, pop rock, post-grunge",pop rock,Pop,2000
82,Dancing in the Moonlight,Toploader,Onka's Big Moka,61,12.0,https://open.spotify.com/track/0w07a1vsKahQMM0RnPXHVT,0.0568,0.632,-3.453,0.843,0.856,0.35,119.404,False,0.0,232693,british alternative rock,british alternative rock,Rock,2000
83,No More,Ruff Endz,Love Crimes,61,14.0,https://open.spotify.com/track/2WfhlEjoUII31H6imnQdvF,0.0324,0.839,-5.669,0.927,0.641,0.0602,97.004,False,4.56e-06,242560,"contemporary r&b, r&b",r&b,R&B,2000
84,Bag Lady,Erykah Badu  & Roy Ayres,Mama's Gun,61,14.0,https://open.spotify.com/track/7BgUcOjSOlKJXASLgJ6bx1,0.365,0.724,-8.964,0.578,0.416,0.0969,151.181,True,0.0,348893,"afrofuturism, alternative r&b, neo soul, r&b",alternative r&b,R&B,2000
85,You Sang To Me,Marc Anthony,Marc Anthony,60,15.0,https://open.spotify.com/track/2dwhMQsFeHr2S787WxqAqW,0.0103,0.578,-5.42,0.741,0.894,0.216,165.98,False,2.66e-06,347107,"latin pop, modern salsa, salsa, tropical",modern salsa,Pop,2000
